Question,disEpiPine,disEpiSearch,interEpi,interChunkEpi,seq,relPine,relSearch
Gibt es Tipps zur Auswahl der besten Angelrouten?,4,4,3,3,0.0,1,4
Kannst du mir einige bewährte Angeltechniken verraten die im Podcast besprochen wurden?,4,3,1,1,0.0,1,4
Gibt es Empfehlungen für Angelgewässer oder Angelreisen?,3,4,1,1,0.0,1,4
Ist Angeln Kinderfreundlich?,4,3,2,1,0.0,2,4
Wie kann ich am besten mit dem Hobby Angeln beginnnen. Werden Anfängertipps genannt?,4,4,2,1,0.25,1,4
Ich bin ein bisschen Wasserscheu muss ich Angst haben oft Nass zu werden beim Angeln,4,4,0,0,0.0,1,4
Welche Jahreszeit ist die Beste zum Angeln?,4,4,1,0,0.0,2,4
Ist Angeln Teuer mit wieviel Ausgaben muss ich rechnen?,4,4,2,2,0.0,2,4
Wie kann Ich Angeln und Haustiere unter einen Hut bringen?,4,4,2,1,0.0,1,4
Welche Papiere Bescheingungen und Lizenzen benötige ich zum Angeln?,4,4,1,1,0.0,3,4
Gibt es spezielle Angeltechniken für verschiedene Fischarten?,4,3,1,1,0.0,1,4
Welche Rolle spielt die Wetterlage beim Angeln?,3,3,2,2,0.0,4,5
Kannst du Tipps zur richtigen Köderauswahl geben?,4,3,1,1,0.0,2,4
Wie finde ich gute Angelplätze in meiner Region?,4,4,2,2,0.0,2,4
Gibt es besondere Ausrüstungsempfehlungen für das Nachtangeln?,3,4,1,1,0.0,1,4
Welche Rolle spielt die Mondphase beim Angeln?,4,3,1,1,0.0,1,1
Wie gehe ich mit schwierigen Wetterbedingungen beim Angeln um?,4,4,1,1,0.0,1,4
Kannst du etwas über die Bedeutung von Tarnung und Geruchskontrolle beim Angeln erzählen?,4,4,2,1,0.0,1,4
Welche Vorteile bietet die Verwendung von Kunstködern gegenüber Naturködern?,4,3,1,0,0.0,1,4
Welche Fischarten sind besonders herausfordernd zu angeln?,3,3,0,0,0.0,1,4
Ist es besser vom Ufer aus zu angeln oder eine Bootstour zu unternehmen?,4,4,1,0,0.0,1,4
Welche Sicherheitsvorkehrungen sollte man beim Angeln auf offenen Gewässern treffen?,3,4,1,0,0.0,2,4
Gibt es besondere Angeltechniken für Anfänger?,4,4,2,2,0.0,1,3
Wie wählt man die richtige Angelschnur aus?,4,4,2,2,0.0,1,5
Was sind die besten Gewässertypen für Anfänger?,4,4,0,0,0.0,1,4
Kannst du Empfehlungen für umweltfreundliches Angeln geben?,4,4,1,1,0.0,2,4
Wie erkenne ich gute Angelreviere in unbekannten Gebieten?,3,4,0,0,0.0,2,4
Gibt es bewährte Methoden zur Fischpopulationserhaltung?,3,4,1,1,0.0,1,4
Wie kann ich die richtige Rute für mein Angelabenteuer auswählen?,3,4,3,3,0.0,2,4
Welche Apps oder Online-Tools sind hilfreich für Angler?,4,4,1,1,0.0,1,5
Kannst du etwas über die Rolle der Gezeiten beim Küstenangeln erzählen?,4,4,1,0,0.0,1,4
Wie wichtig ist die Wahl des richtigen Angelhakens?,4,3,1,1,0.0,2,4
Was sind die besten Strategien für das Fangen von Trophäenfischen?,4,4,1,0,0.0,2,4
Gibt es Unterschiede in der Ausrüstung für Süß- und Salzwasserangeln?,4,4,1,1,0.0,1,4
Welche Rolle spielen Köderfarben beim Angeln?,4,4,0,0,0.0,3,4
Kannst du einige ungewöhnliche Angelgewässer oder -methoden vorstellen?,4,4,2,1,0.0,2,5
Wie gehe ich mit Unterwasserhindernissen beim Angeln um?,4,4,0,0,0.0,2,4
Was sind die besten Techniken für das Angeln in Flüssen?,4,4,0,0,0.0,1,4
Wie wichtig ist die Wahl der richtigen Angelbekleidung?,4,4,2,2,0.0,1,4
Gibt es besondere Überlegungen für das Eisangeln?,3,4,0,0,0.0,2,4
Wie finde ich heraus welche Fischarten in meiner Region vorkommen?,4,3,0,0,0.0,1,4
Kannst du etwas über die Bedeutung der Angelrutenaktion erklären?,4,4,1,1,0.0,3,4
Welche Rolle spielt die Wasserqualität beim Angeln?,4,4,2,2,0.0,1,5
Was sind die besten Methoden zur Fischbestandserhaltung?,2,4,1,1,0.0,2,4
Wie gehe ich mit Fischschonzeiten und Fangbegrenzungen um?,4,4,1,1,0.0,4,5
Welche Rolle spielt die Jahreszeit beim Fliegenfischen?,4,4,2,2,0.0,2,4
Kannst du einige Angeltechniken für Raubfische vorstellen?,4,3,1,1,0.0,2,4
Wie kann ich meine Angeltechniken an verschiedene Gewässertypen anpassen?,4,4,1,1,0.0,2,4
Gibt es besondere Tipps für das Angeln in städtischen Gebieten?,3,4,1,1,0.0,1,4
Was sind die besten Methoden zur Fischvermessung und -freilassung?,4,3,0,0,0.0,1,4
Kannst du Empfehlungen für umweltfreundliche Angelköder geben?,3,4,2,2,0.0,2,4
Wie wichtig ist die richtige Technik zum Hakenlösen?,4,4,4,3,0.0,1,5
Was sind die besten Strategien für das Nachtangeln?,4,3,1,1,0.0,2,4
Gibt es besondere Herausforderungen beim Hochseeangeln?,4,4,1,1,0.0,1,3
Wie gehe ich mit Wetterumschwüngen beim Angeln um?,4,4,3,2,0.0,1,5
Kannst du etwas über die Bedeutung der richtigen Angelrolle erklären?,3,4,1,1,0.0,1,4
Welche Rolle spielt die Windrichtung beim Angeln?,4,4,2,2,0.0,1,3
Was sind die besten Techniken für das Angeln mit lebenden Ködern?,4,4,1,0,0.0,2,4
Wie kann ich meine Angelmethoden an verschiedene Jahreszeiten anpassen?,3,4,2,1,0.0,2,4
Gibt es spezielle Tipps für das Angeln in Bergseen?,4,4,1,0,0.0,1,4
Kannst du einige Methoden zur Vorhersage von Fischaktivitäten teilen?,4,4,0,0,0.0,2,4
Wie wichtig ist die Wahl der richtigen Angelschnur für verschiedene Fischarten?,4,3,1,0,0.0,2,4
Was sind die besten Methoden zur Vermeidung von Überfischung?,2,4,0,0,0.0,2,4
Wie erkenne ich Anzeichen von Fischaktivität auf der Wasseroberfläche?,4,4,1,0,0.0,1,4
Gibt es spezielle Angeltechniken für Kinder?,4,4,3,3,0.0,1,N/A
Welche Rolle spielt die Tarnung beim Fischen in klarem Wasser?,2,4,1,1,0.0,1,4
Was sind die besten Methoden zur Fischzählung in einem Gewässer?,4,3,1,0,0.0,2,4
Kannst du Empfehlungen für umweltfreundliche Angelruten geben?,4,4,1,1,0.0,2,4
Wie kann ich die richtige Taktik für das Fliegenfischen auswählen?,4,3,1,1,0.0,1,4
Gibt es besondere Techniken für das Angeln in großen Seen?,4,4,2,1,0.0,2,4
Welche Rolle spielt die Wasserströmung beim Angeln in Flüssen?,4,4,3,2,0.0,1,4
Was sind die besten Methoden zur Fischpflege in einem Aquarium?,3,4,1,1,0.0,1,4
Wie gehe ich mit Fischkrankheiten um?,4,4,2,2,0.0,1,4
Kannst du einige Techniken für das Angeln an stark befischten Gewässern teilen?,4,4,2,1,0.0,2,4
Wie wichtig ist die Wahl des richtigen Angelköders für verschiedene Fischarten?,4,4,0,0,0.0,2,4
Was sind die besten Strategien für das Angeln auf Forellen?,4,3,2,1,0.0,2,4
Gibt es besondere Überlegungen für das Angeln in Küstengebieten?,3,4,0,0,0.0,1,4
Wie erkenne ich geeignete Angelgewässer in meinem Urlaubsziel?,4,4,2,2,0.0,1,5
Kannst du etwas über die Bedeutung der Angelrutenlänge erklären?,4,4,2,2,0.0,2,4
Welche Rolle spielt die Struktur des Gewässers beim Angeln?,4,4,1,1,0.25,2,4
Was sind die besten Methoden zur Fischzählung in einem Teich?,4,4,0,0,0.0,1,4
Wie kann ich meine Angeltechniken für verschiedene Tageszeiten optimieren?,3,4,1,1,0.0,1,4
Gibt es spezielle Tipps für das Angeln während der Laichzeit?,4,4,1,1,0.0,1,4
Kannst du einige bewährte Methoden für das Eisfischen teilen?,4,4,1,0,0.0,1,4
Wie wichtig ist die richtige Montage von Angelhaken?,4,3,2,2,0.0,1,4
Was sind die besten Strategien für das Angeln auf Hechte?,4,4,1,0,0.0,3,4
Gibt es besondere Überlegungen für das Angeln in tropischen Gewässern?,4,4,1,0,0.0,1,4
Wie gehe ich mit schwierigen Lichtverhältnissen beim Angeln um?,2,4,1,1,0.0,2,4
Kannst du etwas über die Bedeutung der Angelrolle erklären?,3,4,1,1,0.0,1,4
Welche Rolle spielt die Vegetation beim Angeln?,4,3,1,1,0.0,1,4
Was sind die besten Methoden zur Fischzählung in einem Fluss?,4,3,0,0,0.0,1,4
Wie kann ich meine Angeltechniken für verschiedene Wassertiefen optimieren?,4,4,1,1,0.0,1,4
Gibt es spezielle Tipps für das Angeln von der Küste aus?,3,4,1,1,0.0,1,4
Kannst du einige Methoden zur Fischidentifizierung teilen?,3,4,0,0,0.0,2,4
Wie wichtig ist die Wahl des richtigen Angelgewichts?,4,4,1,1,0.0,2,4
Was sind die besten Strategien für das Angeln auf Zander?,4,4,2,1,0.0,2,4
Gibt es besondere Überlegungen für das Angeln in Bergbächen?,3,4,1,1,0.0,2,4
Wie erkenne ich Anzeichen von kranken Fischen?,4,4,1,1,0.0,1,4
Kannst du etwas über die Bedeutung der richtigen Angelrutenaktion erklären?,4,3,1,1,0.0,1,4
Welche Rolle spielt die Sichttiefe beim Angeln?,3,4,1,1,0.0,1,5
Was sind die besten Methoden zur Fischzählung in einem See?,4,3,1,0,0.0,2,4
Wie kann ich meine Angeltechniken für verschiedene Wassertemperaturen optimieren?,4,4,1,1,0.0,1,4
Gibt es spezielle Tipps für das Angeln in Gewässern mit starkem Strömung?,4,4,2,2,0.0,2,4
Kannst du einige bewährte Methoden für das Nachtangeln teilen?,4,4,1,1,0.0,1,4
Wie wichtig ist die richtige Pflege von Angelgerät?,4,2,1,1,0.0,1,5
Was sind die besten Strategien für das Angeln auf Karpfen?,3,3,1,2,0.0,2,4
Gibt es besondere Überlegungen für das Angeln in stehenden Gewässern?,4,4,1,0,0.0,1,4
Wie erkenne ich Anzeichen von überfischten Gewässern?,4,3,0,0,0.0,1,4
Kannst du etwas über die Bedeutung der richtigen Angelrolle erklären?,3,4,1,1,0.0,1,5
